Feature,System,Module,User Role,Priority,Status,Description,Assigned Team
Cart Management,Buyer Website,Cart,Buyer,Very High,Not Started,"Lets a buyer view cart items, change quantities and remove products, grouped by seller store.","Frontend,Backend,UX/UI,Testing"
Cart Summary Calculation,Buyer Website,Cart,Buyer,High,Not Started,"Calculates subtotal, delivery fee and order total, and keeps the values in sync when the cart changes.","Backend,Testing"
Checkout Shipping Details,Buyer Website,Checkout,Buyer,Very High,Not Started,"Collects and validates the delivery address and contact number before the order is placed.","Frontend,Backend,UX/UI"
Checkout Payment Method,Buyer Website,Payment,Buyer,Very High,Not Started,"Lets the buyer choose a payment method and confirms the charge through the payment gateway.","Frontend,Backend,Testing"
Place Order,Buyer Website,Checkout,Buyer,Very High,Not Started,"Converts the cart into a persisted order, reduces product stock and clears the cart.","Backend,Testing"
Order Confirmation Page,Buyer Website,Checkout,Buyer,High,Not Started,"Success screen showing the order number, purchased items and expected delivery information.","Frontend,UX/UI"
My Orders,Buyer Website,Order,Buyer,High,Not Started,"Order history list showing every past order with date, total and current status.","Frontend,Backend,UX/UI"
Buyer Order Detail,Buyer Website,Order,Buyer,High,Not Started,"Detailed view of one order with line items, delivery address, payment method and status timeline.","Frontend,Backend"
Order Cancellation,Buyer Website,Order,Buyer,Medium,Not Started,"Lets a buyer cancel an order while it is still pending and restores the reserved stock.","Frontend,Backend,Testing"
Submit Product Review,Buyer Website,Review,Buyer,Medium,Not Started,"Lets a buyer rate and review a product they have purchased, limited to one review per order item.","Frontend,Backend,Testing"
Buyer Profile Management,Buyer Website,User Account,Buyer,High,Not Started,"Lets a buyer view and update their name, phone number, email and profile photo.","Frontend,Backend,UX/UI"
Buyer Address Book,Buyer Website,User Account,Buyer,Medium,Not Started,"Stores multiple delivery addresses and lets the buyer set a default for faster checkout.","Frontend,Backend"
Buyer Change Password,Buyer Website,User Account,Buyer,Medium,Not Started,"Lets a signed in buyer change their password after confirming the current one.","Frontend,Backend,Testing"
Become a Seller Landing Page,Seller System,Store Management,Guest,High,Not Started,"Marketing page that explains the benefits of selling on KhmerCraft and starts the onboarding flow.","Frontend,UX/UI"
Seller Onboarding Basic Information,Seller System,Store Management,Seller,Very High,Not Started,"Collects store name, description, category, location and contact details during onboarding.","Frontend,Backend,UX/UI"
Subscription Plan Selection,Seller System,Payment,Seller,High,Not Started,"Presents the available seller plans with pricing and limits, and records the selected plan.","Frontend,Backend,UX/UI"
Seller Subscription Payment,Seller System,Payment,Seller,High,Not Started,"Processes the plan payment through the gateway and activates the seller account on success.","Frontend,Backend,Testing"
Seller Dashboard Overview,Seller System,Dashboard,Seller,Very High,Not Started,"Summary screen with total sales, order count, low stock alerts and recent activity for the store.","Frontend,Backend,UX/UI"
View Products,Seller System,Product,Seller,Very High,Not Started,"Lists all products belonging to the signed in seller with stock, price and published status.","Frontend,Backend"
Add Product,Seller System,Product,Seller,Very High,Not Started,"Form to create a product with title, price, category, description, stock and images.","Frontend,Backend,UX/UI,Testing"
Edit Product,Seller System,Product,Seller,Very High,Not Started,"Lets a seller update any field of an existing product they own.","Frontend,Backend,Testing"
Delete Product,Seller System,Product,Seller,High,Not Started,"Removes or archives a product, with a confirmation step and a guard for products in open orders.","Frontend,Backend,Testing"
Stock Management,Seller System,Product,Seller,High,Not Started,"Lets a seller adjust available quantity per product and flags items that are out of stock.","Frontend,Backend,Testing"
View Store Orders,Seller System,Order,Seller,Very High,Not Started,"Lists incoming orders for the seller store, filterable by status and date.","Frontend,Backend"
Seller Order Detail,Seller System,Order,Seller,High,Not Started,"Shows one order with buyer contact, delivery address, ordered items and payment status.","Frontend,Backend"
Update Order Status,Seller System,Order,Seller,Very High,Not Started,"Lets a seller move an order through pending, confirmed, shipped, delivered or cancelled.","Frontend,Backend,Testing"
Store Profile Management,Seller System,Store Management,Seller,High,Not Started,"Lets a seller edit the public store profile shown to buyers, including name and description.","Frontend,Backend,UX/UI"
Store Information Settings,Seller System,Store Management,Seller,Medium,Not Started,"Manages store contact details, pickup location, delivery options and operating hours.","Frontend,Backend"
Store Image Upload,Seller System,Store Management,Seller,Medium,Not Started,"Uploads and crops the store logo and banner image with file type and size validation.","Frontend,Backend,UX/UI"
Sales Report,Seller System,Dashboard,Seller,Medium,Not Started,"Reports revenue and units sold over a selected date range with a breakdown by product.","Frontend,Backend"
Payout History,Seller System,Payment,Seller,Medium,Not Started,"Lists past payouts to the seller with amount, period covered and transfer status.","Frontend,Backend"
Seller Review Management,Seller System,Review,Seller,Low,Not Started,"Lets a seller read reviews left on their products and reply publicly to each one.","Frontend,Backend"
Seller Account Settings,Seller System,User Account,Seller,Medium,Not Started,"Manages the seller login email, password, notification preferences and bank payout details.","Frontend,Backend"
Admin Dashboard Overview,Admin System,Dashboard,Admin,High,Not Started,"Platform wide summary of users, sellers, orders, revenue and items waiting for approval.","Frontend,Backend,UX/UI"
User Management,Admin System,User Account,Admin,High,Not Started,"Lets an admin search, view, suspend or reactivate any buyer account on the platform.","Frontend,Backend,Testing"
Seller Management,Admin System,Store Management,Admin,High,Not Started,"Lets an admin view all seller stores, their plan, status and performance.","Frontend,Backend"
Seller Approval,Admin System,Store Management,Admin,Very High,Not Started,"Review queue where an admin approves or rejects new seller applications with a reason.","Frontend,Backend,Testing"
Admin Product Management,Admin System,Product,Admin,Medium,Not Started,"Lets an admin moderate listings and unpublish products that break platform rules.","Frontend,Backend"
Category Management,Admin System,Product,Admin,Medium,Not Started,"Creates, renames and deactivates the product categories used across the marketplace.","Frontend,Backend"
Order Monitoring,Admin System,Order,Admin,Medium,Not Started,"Read only view of every order across all stores for support and troubleshooting.","Frontend,Backend"
Platform Reports,Admin System,Dashboard,Admin,Medium,Not Started,"Analytics on sales, top sellers, top products and user growth, exportable for reporting.","Frontend,Backend"
Dispute Handling,Admin System,Order,Admin,Medium,Not Started,"Case workflow for buyer and seller complaints, including notes, resolution and refund decision.","Frontend,Backend,UX/UI"
Payout Approval,Admin System,Payment,Admin,Low,Not Started,"Lets an admin review and release pending seller payouts for a settlement period.","Frontend,Backend"
System Settings,Admin System,Dashboard,Admin,Low,Not Started,"Manages platform level configuration such as commission rate, delivery fees and plan pricing.","Frontend,Backend"
Global Navigation and Header,Shared System,Dashboard,Guest,High,Not Started,"Shared top navigation that changes its links and account menu based on the signed in role.","Frontend,UX/UI"
Global Footer,Shared System,Dashboard,Guest,Low,Not Started,"Shared footer with about links, contact details, policies and social media.","Frontend,UX/UI"
Responsive Layout,Shared System,Dashboard,Guest,High,Not Started,"Ensures every page works on mobile, tablet and desktop breakpoints.","Frontend,UX/UI,Testing"
Email Notification Service,Shared System,User Account,Guest,High,Not Started,"Central service that sends transactional email for registration, password reset and order updates.",Backend
In App Notifications,Shared System,User Account,Buyer,Low,Not Started,"In product notification list for order status changes and seller announcements.","Frontend,Backend"
Image Upload Service,Shared System,Product,Seller,High,Not Started,"Shared upload and storage pipeline for product, store and profile images with size limits.",Backend
Payment Gateway Integration,Shared System,Payment,Buyer,Very High,Not Started,"Single integration layer used by both buyer checkout and seller subscription payments.","Backend,Testing"
Input Validation and Error Handling,Shared System,Dashboard,Guest,High,Not Started,"Consistent request validation and error response format across every API endpoint.","Backend,Testing"
API Documentation with Swagger,Shared System,Dashboard,Guest,High,Not Started,"Live Swagger UI documenting every endpoint so the API can be tested without the frontend.",Backend
Logging and Monitoring,Shared System,Dashboard,Admin,Medium,Not Started,"Structured request and error logging to support debugging and production monitoring.",Backend
Security Hardening,Shared System,User Account,Guest,High,Not Started,"Rate limiting, password hashing, input sanitisation and protection of sensitive routes.","Backend,Testing"
Multi Language Support,Shared System,Dashboard,Guest,Low,Not Started,"Khmer and English language switching across the buyer facing pages.","Frontend,UX/UI"
